Unique ID,Road transport code,Year,Region,South Island Dual Fuel Trucks,Diesel Emissions,Duel Fuel Emissions,Duel fuel emmission savings,Emissions total,Abatement Duel fuel diesel hydrogen,Abatement fuel cell electric vehicle,Abatement biodiesel (FAME),Abatement renewable diesel,
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2023,GENERAL GOODS - LINE HAULAGE,2023,Tasman Marlborough,79,0,10428,0,0,10428,0,0,0,0
GENERAL GOODS - LOCAL-Tasman Marlborough-2023,GENERAL GOODS - LOCAL,2023,Tasman Marlborough,54,0,7128,0,0,7128,0,0,0,0
HEAVY HAULAGE-Tasman Marlborough-2023,HEAVY HAULAGE,2023,Tasman Marlborough,10,0,1320,0,0,1320,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2023,LOG HAULAGE,2023,Tasman Marlborough,124,0,16368,0,0,16368,0,0,0,0
REFRIG. HAULAGE-Tasman Marlborough-2023,REFRIG. HAULAGE,2023,Tasman Marlborough,8,0,1056,0,0,1056,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2023,STOCK CARTAGE,2023,Tasman Marlborough,23,0,3036,0,0,3036,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2023,GENERAL GOODS - LINE HAULAGE,2023,West Coast Region,6,0,792,0,0,792,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2023,GENERAL GOODS - LOCAL,2023,West Coast Region,1,0,132,0,0,132,0,0,0,0
HEAVY HAULAGE-West Coast Region-2023,HEAVY HAULAGE,2023,West Coast Region,1,0,132,0,0,132,0,0,0,0
LOG HAULAGE-West Coast Region-2023,LOG HAULAGE,2023,West Coast Region,4,0,528,0,0,528,0,0,0,0
STOCK CARTAGE-West Coast Region-2023,STOCK CARTAGE,2023,West Coast Region,10,0,1320,0,0,1320,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2023-Dual fuel,FURNITURE REMOVALS,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,Canterbury Region,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
GENERAL GOODS - LOCAL-Canterbury Region-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,Canterbury Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
HEAVY HAULAGE-Canterbury Region-2023-Dual fuel,HEAVY HAULAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Canterbury Region-2023-Dual fuel,LOG HAULAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
REFRIG. HAULAGE-Canterbury Region-2023-Dual fuel,REFRIG. HAULAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Canterbury Region-2023-Dual fuel,STOCK CARTAGE,2023,Canterbury Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Otago Region-2023-Dual fuel,FURNITURE REMOVALS,2023,Otago Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Otago Region-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,Otago Region,0,30,0,2376,-1584,2376,1033560,1279080,3528360,3781800
GENERAL GOODS - LOCAL-Otago Region-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,Otago Region,0,40,0,3168,-2112,3168,1378080,1705440,4704480,5042400
HEAVY HAULAGE-Otago Region-2023-Dual fuel,HEAVY HAULAGE,2023,Otago Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Otago Region-2023-Dual fuel,LOG HAULAGE,2023,Otago Region,0,24,0,1900.8,-1267.2,1900.8,826848,1023264,2822688,3025440
REFRIG. HAULAGE-Otago Region-2023-Dual fuel,REFRIG. HAULAGE,2023,Otago Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Otago Region-2023-Dual fuel,STOCK CARTAGE,2023,Otago Region,0,20,0,1584,-1056,1584,689040,852720,2352240,2521200
GENERAL GOODS - LINE HAULAGE-Tasman Marlborough-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,Tasman Marlborough,0,10,0,792,-528,792,344520,426360,1176120,1260600
GENERAL GOODS - LOCAL-Tasman Marlborough-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,Tasman Marlborough,0,10,0,792,-528,792,344520,426360,1176120,1260600
HEAVY HAULAGE-Tasman Marlborough-2023-Dual fuel,HEAVY HAULAGE,2023,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-Tasman Marlborough-2023-Dual fuel,LOG HAULAGE,2023,Tasman Marlborough,0,10,0,792,-528,792,344520,426360,1176120,1260600
REFRIG. HAULAGE-Tasman Marlborough-2023-Dual fuel,REFRIG. HAULAGE,2023,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-Tasman Marlborough-2023-Dual fuel,STOCK CARTAGE,2023,Tasman Marlborough,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LINE HAULAGE-West Coast Region-2023-Dual fuel,GENERAL GOODS - LINE HAULAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
GENERAL GOODS - LOCAL-West Coast Region-2023-Dual fuel,GENERAL GOODS - LOCAL,2023,West Coast Region,0,7,0,554.4,-369.6,554.4,241164,298452,823284,882420
HEAVY HAULAGE-West Coast Region-2023-Dual fuel,HEAVY HAULAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
LOG HAULAGE-West Coast Region-2023-Dual fuel,LOG HAULAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
STOCK CARTAGE-West Coast Region-2023-Dual fuel,STOCK CARTAGE,2023,West Coast Region,0,0,0,0,0,0,0,0,0,0
FURNITURE REMOVALS-Canterbury Region-2024,FURNITURE REMOVALS,2024,Canterbury Region,2,0,264,0,0,264,0,0,0,0
GENERAL GOODS - LINE HAULAGE-Canterbury Region-2024,GENERAL GOODS - LINE HAULAGE,2024,Canterbury Region,339,0,44748,0,0,44748,0,0,0,0
GENERAL GOODS - LOCAL-Canterbury Region-2024,GENERAL GOODS - LOCAL,2024,Canterbury Region,312,0,41184,0,0,41184,0,0,0,0
HEAVY HAULAGE-Canterbury Region-2024,HEAVY HAULAGE,2024,Canterbury Region,44,0,5808,0,0,5808,0,0,0,0
LOG HAULAGE-Canterbury Region-2024,LOG HAULAGE,2024,Canterbury Region,92,0,12144,0,0,12144,0,0,0,0
