ID,Year,Quarter,Timeline,Name of Company,Location,Sector,Deals,Round,Stage,Value,Lead Investor,Syndication Partners,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Q1,Q2,Q3,Q4
49,2020,Q3,Jul-20,Narrative,Auckland,Software & Services,1,2,Start-up,2500000,Offshore VC,"Founders Fund, Icehouse Ventures, Aspire Fund",0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,2500000,0
50,2020,Q3,Jul-20,Preno,Auckland,Software & Services,1,4,Start-up,1500000,Icehouse Ventures,"Icehouse Ventures, private investors",0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,1500000,0
51,2020,Q3,Aug-20,Feed My Furbaby,Auckland,Consumer Durables & Apparel,1,2,Start-up,500000,Icehouse Ventures,Private Investors,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,500000,0
56,2020,Q3,Aug-20,Insite AI,Auckland,Software & Services,1,2,Seed,2500000,Offshore VC,"EVP, Enterprise Angels,",0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,2500000,0
57,2020,Q3,Aug-20,LearnCoach,Auckland,Software & Services,1,1,Start-up,2500000,Icehouse Ventures,"Icehouse Ventures, Impact Enterprise Fund",0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,2500000,0
58,2020,Q3,Aug-20,Portainer,Auckland,Software & Services,1,1,Start-up,2000000,Offshore VC,"Offshore VC, AmpliPHI Ventures, Movac",0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,2000000,0
62,2020,Q3,Sep-20,FileInvite,Auckland,Software & Services,1,3,Start-up,2500000,Flying Kiwi Angels,"Flying Kiwi Angels, Aspire",0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,2500000,0
63,2020,Q3,Sep-20,FirstAML,Auckland,Software & Services,1,3,Start-up,2500000,Offshore VC,"Offshore VC, Icehouse Ventures",0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,2500000,0
64,2020,Q3,Sep-20,Yabble,Auckland,Software & Services,1,1,Start-up,1500000,Hillfarrance,"Hillfarrance, Movac, Aspire",0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000,0
65,2020,Q4,Oct-20,Alimetry,Auckland,"Pharmaceuticals, Biotechnology & Life Sciences",1,1,Proof of Concept,250000,UniServices,"IP Group, Matu Fund,",0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,250000
66,2020,Q4,Oct-20,Helico Bio,Auckland,"Pharmaceuticals, Biotechnology & Life Sciences",1,1,Seed,500000,Icehouse Ventures,"LevelTwo, Private Investors",0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,500000
67,2020,Q3,Oct-20,Ranqx,Auckland,Software & Services,1,2,Start-up,500000,Private,Unknown,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,500000,0
69,2020,Q4,Oct-20,YourCar,Auckland,Software & Services,1,2,Seed,1000000,Icehouse Ventures,Private Investors,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,1000000
71,2020,Q4,Oct-20,CarbonClick,Auckland,Software & Services,1,2,Seed,2000000,Marlborough Angels,"Marlborough Angels, K1W1, Icehouse",0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,2000000
72,2020,Q4,Oct-20,Heartlab,Auckland,Software & Services,1,1,Seed,1500000,Icehouse Ventures,"Icehouse Ventures, Founders Fund",0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
75,2020,Q4,Oct-20,Next Minute,Auckland,Software & Services,1,1,Start-up,1500000,Private,"Icehouse Ventures, private investors",0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
78,2020,Q4,Oct-20,Opum Technology,Auckland,Health Care Equipment & Services,1,2,Start-up,500000,WNT Ventures,"WNT Ventures, UniServices",0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,500000
79,2020,Q4,Oct-20,Organic lnitiative,Auckland,Consumer Durables & Apparel,1,1,Start-up,1500000,Private,Pirvate investors,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,1500000
