tier1,tier2,tier3,Last_Update,Confirmed,Deaths,Recovered,Active,shpj,nz_update_time
Philippines,Southeast Asia,Asia,2020:04:20 03:30:32,6259,409,572,5278,Philippines,20-April
Poland,East Europe,Europe,2020:04:20 03:30:32,9287,360,1040,7887,Poland,20-April
Portugal,South Europe,Europe,2020:04:20 03:30:32,20206,714,610,18882,Portugal,20-April
Qatar,West Asia,Asia,2020:04:20 03:30:32,5448,8,518,4922,Qatar,20-April
Romania,East Europe,Europe,2020:04:20 03:30:32,8746,451,1892,6403,Romania,20-April
Rwanda,East Africa,Africa,2020:04:20 03:30:32,147,0,76,71,Rwanda,20-April
Saint Kitts and Nevis,Caribbean,The Americas,2020:04:20 03:30:32,15,0,0,15,St. Kitts and Nevis,20-April
Saint Lucia,Caribbean,The Americas,2020:04:20 03:30:32,15,0,11,4,St. Lucia,20-April
Saint Vincent and the Grenadines,Caribbean,The Americas,2020:04:20 03:30:32,12,0,1,11,St. Vincent and the Grenadines,20-April
San Marino,South Europe,Europe,2020:04:20 03:30:32,461,39,60,362,San Marino,20-April
Sao Tome and Principe,Central Africa,Africa,2020:04:20 03:30:32,4,0,0,4,Sao Tome and Principe,20-April
Saudi Arabia,West Asia,Asia,2020:04:20 03:30:32,9362,97,1398,7867,Saudi Arabia,20-April
Senegal,West Africa,Africa,2020:04:20 03:30:32,367,4,220,143,Senegal,20-April
Serbia,South Europe,Europe,2020:04:20 03:30:32,6318,122,753,5443,Serbia,20-April
Seychelles,East Africa,Africa,2020:04:20 03:30:32,11,0,5,6,Seychelles,20-April
Sierra Leone,West Africa,Africa,2020:04:20 03:30:32,35,0,6,29,Sierra Leone,20-April
Singapore,Southeast Asia,Asia,2020:04:20 03:30:32,6588,11,768,5809,Singapore,20-April
Slovakia,East Europe,Europe,2020:04:20 03:30:32,1161,12,229,920,Slovakia,20-April
Slovenia,South Europe,Europe,2020:04:20 03:30:32,1330,74,192,1064,Slovenia,20-April
Somalia,East Africa,Africa,2020:04:20 03:30:32,164,7,3,154,Somalia,20-April
South Africa,Southern Africa,Africa,2020:04:20 03:30:32,3158,54,903,2201,South Africa,20-April
South Sudan,North Africa,Africa,2020:04:20 03:30:32,4,0,0,4,South Sudan,20-April
Spain,South Europe,Europe,2020:04:20 03:30:32,198674,20453,77357,100864,Spain,20-April
Sri Lanka,South Asia,Asia,2020:04:20 03:30:32,271,7,96,168,Sri Lanka,20-April
Sudan,East Africa,Africa,2020:04:20 03:30:32,92,12,8,72,Sudan,20-April
Suriname,South America,The Americas,2020:04:20 03:30:32,10,1,6,3,Suriname,20-April
Syria,West Asia,Asia,2020:04:20 03:30:32,39,3,5,31,Syria,20-April
Taiwan,East Asia,Asia,2020:04:19 09:13:57,420,6,189,225,Taiwan,20-April
Tanzania,East Africa,Africa,2020:04:20 03:30:32,170,7,11,152,"Tanzania, United Republic of",20-April
Thailand,Southeast Asia,Asia,2020:04:20 03:30:32,2765,47,1928,790,Thailand,20-April
Timor-Leste,Southeast Asia,Asia,2020:04:20 03:30:32,19,0,1,18,Timor-Leste,20-April
Togo,West Africa,Africa,2020:04:20 03:30:32,84,5,52,27,Togo,20-April
Trinidad and Tobago,Caribbean,The Americas,2020:04:20 03:30:32,114,8,21,85,Trinidad and Tobago,20-April
Tunisia,North Africa,Africa,2020:04:20 03:30:32,879,38,43,798,Tunisia,20-April
Turkey,West Asia,Asia,2020:04:20 03:30:32,86306,2017,11976,72313,Turkey,20-April
Uganda,East Africa,Africa,2020:04:20 03:30:32,55,0,28,27,Uganda,20-April
Ukraine,East Europe,Europe,2020:04:20 03:30:32,5449,141,347,4961,Ukraine,20-April
United Arab Emirates,West Asia,Asia,2020:04:20 03:30:32,6781,41,1286,5454,United Arab Emirates,20-April
Uruguay,South America,The Americas,2020:04:20 03:30:32,528,10,298,220,Uruguay,20-April
Uzbekistan,Central Asia,Asia,2020:04:20 03:30:32,1565,5,225,1335,Uzbekistan,20-April
Venezuela,South America,The Americas,2020:04:20 03:30:32,256,9,117,130,Venezuela,20-April
Vietnam,Southeast Asia,Asia,2020:04:20 03:30:32,268,0,202,66,Vietnam,20-April
West Bank and Gaza,West Asia,Asia,2020:04:20 03:30:32,439,3,71,365,Gaza Strip,20-April
Western Sahara,West Africa,Africa,2020:04:20 03:30:32,6,0,0,6,Western Sahara,20-April
Yemen,West Asia,Asia,2020:04:20 03:30:32,1,0,0,1,Yemen,20-April
Zambia,East Africa,Africa,2020:04:20 03:30:32,61,3,33,25,Zambia,20-April
Zimbabwe,Southern Africa,Africa,2020:04:20 03:30:32,25,3,2,20,Zimbabwe,20-April
